 , ,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,At work,..,1418.4,1438,1474.1,1484.2,1505.2,1523,1563.1,1577.7,1581,1599,1629.6,1640.2,1641.3,1664,1686.5,1690.1,1685.2,1700.2,1710.1,1705.1,1709,1721.6,1739.5,1755.3,1763.7,1784.8,1809.1,1832.3,1844.8,1867,1900.5,1919.4,1936.5,1954.9,1987.9,2017.6,2031.1,2049.6,2064,2073.2,2066.2,2060.3,2039.9,2014,1925.1,1903.3,1874.1,1859.3,1828.3,1828.5,1813.5,1794.5,1801,1813.4,1787.9,1793.9,1771.6,1773.5,1773.3,1788.1,1785.5,1803.5,1828.5,1849.1,1834.3,1842.6,1859.5,1877.9,1876.8,1902.8,1922.8,1930.5,1926.1,1941.1,1961.7,1987.1,1990.7,2007.6
 ,Unemployed,..,158.8,152.9,149.7,136.9,130.7,125,122.5,113.6,115.3,108.4,114.2,104.4,102.2,99.3,114.4,111.9,118.6,117.6,126.2,116.5,117.1,115.7,122.7,115.8,118.1,111.2,117.5,109.4,111.8,114.8,120.7,114.8,117.3,118.7,125.4,115.5,123.9,123.5,129.2,125.9,137.6,146.9,176.7,206.2,272.2,316.4,342.3,346.9,356.7,355.8,364.3,367.2,365.7,364.1,382.4,372.4,371.2,373.1,371.7,357.7,342.2,330,326.7,303.5,306.5,298.1,294.8,263.9,263.1,245,246.9,229.6,222.7,221.8,220.6,194.1,188.9,181.3
 ,Student,..,357.9,358.6,334.7,350.3,355.9,353.5,330.7,349.2,360.8,359.6,336,353.6,367.4,361.2,337.9,359,370,367.4,349.6,370.6,374.6,377.2,352.2,370.9,368.7,366.8,347.5,358.3,369.6,362.1,344,361.8,362.1,360.9,346.3,358.6,365.5,367.6,362.3,370.9,377.1,381.4,372.2,386.1,396,385.4,375.2,380.4,408.9,399.6,394.6,400.5,403,399.6,387.4,387.6,406.7,398.7,399.6,413.1,427.3,415.3,398.6,415.5,421.9,411.6,401,415.1,419.3,409.9,388.8,408.7,419.6,408.8,392.9,402.8,417.8,412.6
 ,Engaged on home duties,..,588.4,587,591.2,591.7,582.2,576.7,581,574.9,567.3,564.2,564.2,565.3,561.3,557.2,558.1,557,553.4,553.3,559.2,566.7,565.2,559.2,568.4,562.9,562.6,558.8,564.8,560.9,552.6,545.1,547.1,544,539.4,533.2,549.6,547.6,534.7,532.1,529.3,534.8,535.1,536.6,538,545.1,545.6,542.5,547.9,547.5,540.2,534.8,540,544.6,530.2,521,534.8,529.9,525.3,514.3,513.5,499.5,488.7,486.7,478.1,473.7,476.1,478.1,470.3,476.3,475.5,476.7,477.1,458.4,455,454.6,445.2,436,431.6,427.7
 ,Retired from employment,..,254.7,253.2,254.4,250.3,248.2,248.4,245.7,247.8,248.3,252.7,254.4,255,255.2,257.3,256.9,256.6,259.3,261.5,264.8,266.5,267.1,269.3,273.8,270.9,276.2,277.5,277.1,278.7,280,285.6,286.3,288.3,289.5,288.4,289.2,287.7,292.9,298.1,304.1,306,310.3,311.3,314,309.3,313.8,315.1,318,328,327.4,338.6,343.4,346.3,348.3,358.3,359.1,362.1,371.2,383.4,391.7,391.9,401.7,404,405.5,405.9,407.2,410.5,416.7,417.8,420.1,418.3,424.4,431.1,441.7,444.3,457.7,467.1,467.7,477.3
 ,Other,..,79.1,82.7,84.2,87.2,84.1,88.4,87.5,84.2,81.4,81,83.4,85.6,84.2,85.9,90,90.2,91.9,93.9,99.5,102.3,106.6,106.5,109.5,108.4,105.6,108.1,113,114,111.2,113.4,115.8,114.5,118.1,120.1,116.2,119.3,124.6,127.3,131.6,132.9,135.5,138.5,141.4,128.3,141,137.5,141.4,137.3,137.6,140.9,143,146,150.9,142.9,146.5,148.9,147.8,148,145.7,146.2,149.1,146.9,155.5,149.6,150.5,152.8,153.3,150.8,152.5,154.4,153.2,160.3,161.1,167.1,170.6,167.8,169.5,175.4
 ,All principal economic status,..,2857.2,2872.4,2888.5,2900.4,2906.3,2915,2930.5,2947.4,2954.2,2965,2981.9,3004.1,3011.7,3024.8,3043.8,3064.8,3078.4,3093.9,3109.5,3127.7,3139.5,3149.6,3166.1,3184.3,3194.9,3207.2,3228.9,3253.6,3270.1,3287.9,3314.6,3342.8,3362.9,3376.1,3414.6,3446.4,3472.7,3498.2,3520.5,3543.7,3561.9,3575,3582.3,3589.1,3593.8,3600.2,3598.9,3599.4,3599.1,3598.2,3598.8,3599,3599.1,3599.1,3598.1,3594.7,3593.8,3591,3595.5,3596.5,3594.5,3586.3,3592.8,3597.4,3596.5,3593.9,3595.6,3601.9,3607.3,3607.1,3613.3,3618.5,3626.1,3637.7,3648.5,3654.8,3666.3,3681.9
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,At work,..,873,883.9,903.2,911.7,917.3,926.1,948.8,958,959.5,964,979.1,985.5,986.2,996.8,1004.3,1003.1,996.9,1001.8,1008.4,1002.8,1004.3,1012,1022.6,1031.3,1035.7,1045.9,1060.8,1072.6,1076.9,1087.3,1111.3,1121.7,1131.9,1139.8,1157.4,1171.2,1175.1,1184,1188.4,1189,1177.5,1170.9,1151.3,1127.9,1066.4,1039.8,1018.4,1004.3,983.2,985.1,980.4,963.3,967,970.2,963.8,963.4,950.6,949.6,952.4,960,962.2,974.4,993.4,1008.6,997.4,1001.1,1014.7,1025.3,1025.5,1038.5,1052.2,1050.6,1044.8,1058.4,1068.2,1085.8,1084.4,1091.9
 ,Unemployed,..,115.2,109.3,107.3,98.5,94.2,90,86.2,78.6,78,74.5,75.4,70.9,69.4,66.8,75.8,76.9,81.4,81.5,84.1,83.3,83.8,80.7,84.5,81.3,84.4,79.6,78.9,77.1,78.7,81.3,81.9,78.1,80.3,80.6,86.1,80.8,84,84.3,85.1,90.9,100.4,106,127.9,152.8,204.6,234,246.4,254.4,262.7,257.6,260.2,267.8,264.1,260.6,270.3,266.3,264.7,265.2,260.7,252.3,237.7,227.7,221.4,202.9,206.8,197.6,191.4,176.8,177.9,164,165.4,158.3,154.4,149.8,147.4,128.7,124.2,119.9
 ,Student,..,174.7,175,163.6,168.2,170.8,169.9,160.3,167.3,170.3,169.6,159.7,166.3,172.4,169.2,160.4,169.4,175.4,175.8,169.1,177.5,178.6,179.6,169,176.8,175.7,173.8,170,171,176.4,171.5,161,169.9,167.6,166.4,163.1,168.4,169.7,171.4,171.5,170.9,176.7,181.1,178.7,184.2,190,188.4,187.5,189.9,204.2,200.9,200.9,204.5,205.2,202.2,193.9,191.6,203.1,197.5,200.4,208,217.6,212.7,202.8,211.6,216.1,211.2,204.2,209.8,211.2,207.4,197.6,204.2,212.7,206.9,196.3,202.2,209.3,210.4
 ,Engaged on home duties,..,3.6,3.1,3.5,3.2,3.5,3.5,3.9,3.9,3.4,3.4,3.9,3.2,3.5,3.9,4.3,4.4,4.4,4.8,4.9,4.8,4.7,4.2,4.5,4.9,4.5,5.1,4.8,5.9,5.5,5,5.5,5.2,4.8,4.9,5.1,5.4,5.7,6.7,7.2,7.4,7,6.8,6.5,7.2,6,6.9,7.2,7.4,8,7.4,7,7.8,9.6,8.1,8.8,8.4,9,8.4,8.1,8.3,8.1,8.7,9.9,11.2,11.2,11,9.6,10,10.6,9.5,11.5,10.4,10.3,9.2,10.1,8.9,9.9,10.4
 ,Retired from employment,..,186.6,187.6,188.7,187.8,188,187.4,186,186.4,187.9,192.5,193.4,195.2,195.5,196.7,195.7,196.2,197.1,197.4,198.4,201.6,203.2,202.8,206.2,203.6,207.1,207.9,207.5,207.9,209.3,211.5,210.8,212.6,212.5,211,211.9,210.6,211.7,213.9,216.8,219.1,221.5,221.4,221.4,223.8,224.3,227,229,236.4,233.3,237.8,239.4,241.6,238.4,243.1,246.2,247.6,250,254.3,257.4,251.7,255.3,255.3,253.3,252.4,252.8,256.8,257.9,260,258.4,259.3,259.9,261.1,266.3,266.5,272,271.5,272.1,272.5
 ,Other,..,51.5,53.2,54.2,57.1,55.8,57,56.7,56.3,54.8,55.5,57,59,57.1,57.2,59.4,60,61.5,62.8,66.8,70.6,72.1,72.4,73.7,72.1,68.5,70.2,72.8,74.2,71.2,71.4,73,72.1,73.8,75.2,73.5,76.1,80.2,80.5,80.4,81.3,83.7,85.8,88.2,80.5,86.7,83.3,87.3,82.9,82.7,83,83.9,86.3,87,86.9,86.4,88.4,86.9,86.4,83.6,82.4,81.8,81.2,84.3,79.7,80.9,84,84.8,81.4,81.9,84.4,83.1,86.4,86.9,91.7,94.2,94.5,96.1,99.1
 ,All principal economic status,..,1404.5,1412.2,1420.4,1426.5,1429.5,1433.9,1441.9,1450.5,1454,1459.6,1468.4,1480.1,1484,1490.7,1499.9,1510,1516.6,1524.2,1531.8,1540.7,1546.5,1551.7,1560.5,1570.2,1575.8,1582.6,1594.8,1608.7,1618,1628.1,1643.4,1659.5,1671,1678,1697.3,1712.5,1726.4,1740.7,1749.4,1758.6,1766.7,1772,1773.9,1776.4,1777.9,1779.4,1776,1775.4,1774.1,1771.9,1771.8,1771.4,1771.3,1771,1769.5,1765.7,1764.4,1761.3,1762.5,1762.7,1762.7,1759.9,1765.2,1766.5,1765.1,1761.7,1762.7,1763.2,1765.4,1763.1,1769.7,1771,1775.4,1782.4,1788.1,1791.5,1796,1804.2
Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,At work,..,545.4,554.1,571,572.4,588,596.9,614.3,619.7,621.5,635.1,650.5,654.7,655.2,667.2,682.3,687,688.3,698.4,701.7,702.2,704.7,709.6,716.9,724,728,738.9,748.3,759.7,767.9,779.7,789.2,797.8,804.6,815.1,830.4,846.3,856,865.6,875.6,884.2,888.7,889.5,888.6,886.1,858.7,863.5,855.6,855,845.1,843.4,833.1,831.2,834,843.2,824.1,830.5,821,823.8,821,828,823.2,829,835.1,840.5,836.9,841.5,844.8,852.6,851.3,864.3,870.6,879.8,881.3,882.7,893.5,901.4,906.3,915.8
 ,Unemployed,..,43.6,43.6,42.5,38.4,36.6,35,36.3,35,37.3,33.9,38.9,33.6,32.8,32.4,38.5,35,37.2,36.2,42,33.2,33.4,35,38.2,34.5,33.8,31.6,38.6,32.4,33.2,33.5,38.8,36.7,37,38.1,39.3,34.8,40,39.2,44,35,37.2,41,48.8,53.4,67.6,82.4,95.9,92.5,94,98.2,104.1,99.3,101.6,103.4,112.1,106.1,106.5,108,111,105.4,104.5,102.3,105.3,100.6,99.8,100.5,103.4,87.1,85.2,81,81.5,71.4,68.3,72,73.2,65.4,64.8,61.3
 ,Student,..,183.2,183.6,171.2,182,185.1,183.6,170.4,181.9,190.5,190,176.3,187.3,195,192,177.6,189.6,194.6,191.6,180.5,193.1,196.1,197.6,183.2,194.1,193.1,192.9,177.5,187.3,193.2,190.5,183.1,191.9,194.5,194.4,183.2,190.3,195.8,196.2,190.9,200,200.4,200.3,193.5,201.9,206.1,197,187.7,190.5,204.7,198.7,193.7,196,197.8,197.4,193.4,195.9,203.5,201.2,199.2,205.1,209.7,202.6,195.8,203.9,205.9,200.5,196.8,205.3,208.1,202.5,191.1,204.4,206.8,201.9,196.6,200.5,208.5,202.1
 ,Engaged on home duties,..,584.9,583.9,587.7,588.5,578.6,573.2,577,571,563.9,560.7,560.3,562.2,557.8,553.2,553.8,552.6,549.1,548.5,554.4,561.9,560.5,555,563.9,557.9,558.1,553.7,560,555,547.2,540,541.6,538.9,534.6,528.2,544.4,542.2,529,525.4,522.2,527.4,528.2,529.8,531.5,537.9,539.7,535.7,540.7,540.1,532.1,527.4,533,536.8,520.6,512.9,526,521.5,516.3,505.9,505.5,491.2,480.7,478,468.2,462.4,464.8,467.1,460.7,466.3,464.9,467.2,465.6,448,444.7,445.5,435,427.1,421.7,417.3
 ,Retired from employment,..,68,65.6,65.8,62.5,60.2,61.1,59.7,61.4,60.4,60.2,61,59.7,59.8,60.6,61.3,60.4,62.2,64.1,66.4,64.9,63.9,66.6,67.6,67.3,69,69.6,69.6,70.8,70.6,74.1,75.6,75.7,77,77.3,77.3,77.1,81.1,84.3,87.2,86.9,88.8,89.9,92.6,85.5,89.5,88.2,88.9,91.6,94.1,100.7,104,104.7,109.8,115.2,112.9,114.5,121.2,129.1,134.3,140.3,146.4,148.7,152.1,153.5,154.4,153.8,158.8,157.8,161.7,159,164.5,170,175.4,177.8,185.7,195.6,195.5,204.8
 ,Other,..,27.6,29.4,30,30.1,28.3,31.3,30.8,27.8,26.6,25.5,26.4,26.6,27.2,28.6,30.5,30.2,30.4,31,32.7,31.7,34.5,34.2,35.8,36.3,37.1,37.9,40.2,39.7,40,41.9,42.8,42.4,44.3,44.9,42.7,43.2,44.4,46.8,51.2,51.6,51.8,52.6,53.3,47.8,54.3,54.2,54.1,54.4,54.9,57.9,59.2,59.6,63.8,55.9,60.1,60.5,60.9,61.7,62.1,63.9,67.3,65.7,71.2,69.9,69.6,68.9,68.4,69.5,70.7,69.9,70.1,73.9,74.2,75.4,76.4,73.3,73.4,76.4
 ,All principal economic status,..,1452.7,1460.2,1468.1,1474,1476.8,1481.1,1488.6,1496.8,1500.2,1505.4,1513.4,1524.1,1527.7,1534.1,1543.9,1554.8,1561.8,1569.8,1577.7,1586.9,1593,1597.9,1605.6,1614.2,1619.1,1624.7,1634.1,1644.9,1652,1659.8,1671.2,1683.3,1691.9,1698.1,1717.3,1733.8,1746.3,1757.5,1771.1,1785.1,1795.1,1803,1808.4,1812.7,1815.9,1820.8,1823,1824,1824.9,1826.3,1827.1,1827.6,1827.8,1828.1,1828.6,1829,1829.4,1829.7,1833.1,1833.9,1831.9,1826.3,1827.7,1830.9,1831.4,1832.2,1832.9,1838.6,1841.9,1844,1843.5,1847.5,1850.8,1855.3,1860.4,1863.3,1870.3,1877.7
